ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,ILID,Synergist
103012,Lever Pec Deck Fly,Strength,Chest,Leverage machine,Male,Biceps Brachii,0680,"Brachialis, Brachioradialis"
103112,Lever Standing Hip Extension,Strength,Hips,Leverage machine,Male,Triceps Brachii,0681,
103212,Lever Alternate Biceps Curl,Strength,Upper Arms,Leverage machine,Male,"Gluteus Medius, Tensor Fasciae Latae",0682,
103312,Lever Triceps Extension,Strength,Upper Arms,Leverage machine,Male,"Adductor Longus, Adductor Magnus",0683,"Adductor Brevis, Gracilis, Pectineous"
103712,Lever Standing Rear Kick,Strength,Hips,Leverage machine,Male,"Gluteus Maximus, Quadriceps",0684,"Adductor Magnus, Soleus"
104112,Lever Lying Chest Press (plate loaded),Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,0685,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
104312,Weighted Lying Neck Flexion,Strength,Neck,Weighted,Male,Sternocleidomastoid,0686,"Levator Scapulae, Splenius"
104412,Plate Pinch,Strength,Forearms,Body weight,Male,Wrist Extensors,0687,"Adductor Magnus, Gluteus Maximus, Quadriceps, Soleus"
104512,Barbell Seated Military Press (inside squat cage),Strength,Shoulders,Barbell,Male,Deltoid Anterior,0688,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
104612,Cable Elevated Row,Strength,Back,Cable,Male,Latissimus Dorsi,0689,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Pectoralis Major Sternal Head, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
104712,Cable Close-Grip Front Lat Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,0690,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
105112,Cat Stretch (male),Stretching,Back,Body weight,Male,Erector Spinae,0691,
105212,Fixed Bar Back Stretch,Stretching,Back,Body weight,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers",0692,
105312,Kneeling Hip Flexor Stretch,Stretching,Hips,Body weight,Male,Gluteus Maximus,0693,
105512,Lying (prone) Abdominal Stretch (female),Stretching,Waist,Body weight,Female,Rectus Abdominis,0694,
105612,Lying Glute Stretch (female),Stretching,Hips,Body weight,Female,Gluteus Maximus,0695,
105812,Standing One Arm Chest Stretch,Stretching,"Chest, Upper Arms",Body weight,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",0696,
