ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,video_url
284112,Corkscrew (female),Stretching,"Hips, Thighs, Waist",Body weight,Female,"Gluteus Medius, Iliopsoas, Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Adductor Magnus, Gracilis, Pectineous, Quadriceps, Sartorius",https://gymvisual.com/modules/productmedia/uploads/28411201corkscrewpilatesview.mp4
284212,Crab (female),Stretching,Waist,Body weight,Female,"Obliques, Rectus Abdominis","Gluteus Maximus, Latissimus Dorsi, Quadriceps, Teres Major",https://gymvisual.com/modules/productmedia/uploads/28421201crabpilatesview.mp4
284312,Double Leg Stretch (female),Stretching,"Hips, Thighs, Waist",Body weight,Female,"Obliques, Rectus Abdominis",,https://gymvisual.com/modules/productmedia/uploads/28431201doublelegstretchpilatesview.mp4
284412,Floor Hyperextension (VERSION 2) (female),Stretching,Hips,Body weight,Female,Erector Spinae,"Gluteus Maximus, Hamstrings",https://gymvisual.com/modules/productmedia/uploads/28441201floorhyperextensionversion2pilatesview.mp4
284512,Hip Twist Supported Arms (female),Stretching,"Hips, Waist",Body weight,Female,"Obliques, Rectus Abdominis",,https://gymvisual.com/modules/productmedia/uploads/28451201hiptwistsupportedarmspilatesview.mp4
284612,Hundred,Stretching,"Hips, Thighs, Waist",Body weight,Female,"Obliques, Rectus Abdominis",,https://gymvisual.com/modules/productmedia/uploads/23c5d14354f2fc26ed672ca92a88aadb.mp4
284712,JackKnife (female),Stretching,"Hips, Thighs, Waist",Body weight,Female,"Iliopsoas, Obliques, Rectus Abdominis","Gastrocnemius, Hamstrings, Quadriceps, Sartorius, Soleus",https://gymvisual.com/modules/productmedia/uploads/28471201jackknifepilatesview.mp4
284812,Leg Pull Side (female),Stretching,Hips,Body weight,Female,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gluteus Medius, Pectineous","Gracilis, Quadriceps, Tensor Fasciae Latae",https://gymvisual.com/modules/productmedia/uploads/28481201legpullsidepilatesview.mp4
284912,Leg Pull (female),Stretching,"Back, Hips, Thighs, Waist",Body weight,Female,"Iliopsoas, Obliques, Rectus Abdominis",,https://gymvisual.com/modules/productmedia/uploads/28491201legpullpilatesview.mp4
285112,Lying Double Leg Kick (female),Stretching,"Hips, Thighs",Body weight,Female,"Erector Spinae, Gluteus Maximus, Hamstrings","Deltoid Posterior, Gastrocnemius, Latissimus Dorsi, Obliques, Rectus Abdominis, Soleus, Teres Major, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/28511201lyingdoublelegkickfemalepilatesview.mp4
286212,Scissors (female),Stretching,Waist,Body weight,Female,"Iliopsoas, Obliques, Rectus Abdominis",,https://gymvisual.com/modules/productmedia/uploads/82e07ce38ee3e2041896d7c1086d2077.mp4
286312,Shoulder Bridge (female),Stretching,Stretching,Body weight,Female,,,https://gymvisual.com/modules/productmedia/uploads/28631201preview.mp4
286712,Single Straight  Leg Stretch (female),Stretching,"Hips, Thighs, Waist",Body weight,Female,"Iliopsoas, Rectus Abdominis","Gastrocnemius, Gluteus Maximus, Hamstrings, Obliques, Sartorius, Soleus",https://gymvisual.com/modules/productmedia/uploads/07cfa64443d8812a63c41905a3be1f9b.mp4
287212,Single Leg Stretch (bent knee) (female),Stretching,Waist,Body weight,Female,"Iliopsoas, Obliques, Rectus Abdominis","Gastrocnemius, Quadriceps, Sartorius, Soleus",https://gymvisual.com/modules/productmedia/uploads/9e5b508267b7c99291873d9d4d33f83a.mp4
287312,Spine Stretch Forward,Stretching,"Hips, Waist",Body weight,Female,"Erector Spinae, Obliques, Rectus Abdominis",,https://gymvisual.com/modules/productmedia/uploads/be3b432e7acc3183f3d697841c6dd031.mp4
287812,Prone Press Swan (female),Stretching,"Hips, Waist",Body weight,Female,"Erector Spinae, Gluteus Maximus, Hamstrings","Deltoid Anterior, Gastrocnemius, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/3564b7cef6716350bea82aab4c759e65.mp4
288212,Cable Standing Rear Delt Row (with rope) (female),Strength,Shoulders,Cable,Female,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://gymvisual.com/modules/productmedia/uploads/24143a6cc6c988e137b9ae4540bf0bd7.mp4
288312,Lever Seated Shoulder Press (female),Strength,Shoulders,Leverage machine,Female,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/28831201leverseatedshoulderpressfemaleshouldersview.mp4
288512,Lever T-bar Row (plate loaded) (female),Strength,Back,Leverage machine,Female,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",https://gymvisual.com/modules/productmedia/uploads/b38beefe8c88e4783366a501962dffaf.mp4
288812,Starfish Crunch (beginner) (female),Strength,Waist,Body weight,Female,"Iliopsoas, Obliques, Rectus Abdominis","Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Quadriceps, Sartorius",https://gymvisual.com/modules/productmedia/uploads/8df2189c99863d8fcbfefcc8c03bf44a.mp4
289412,Front Plank with Arm Lift (female),Strength,Waist,Body weight,Female,,,https://gymvisual.com/modules/productmedia/uploads/28941201frontplankwitharmliftfemalewaistview.mp4
289612,Front Plank with Arm and Leg Lift (female),Strength,Waist,Body weight,Female,"Gluteus Maximus, Rectus Abdominis","Deltoid Anterior, Gastrocnemius, Hamstrings, Latissimus Dorsi, Obliques, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Serratus Anterior, Teres Major",https://gymvisual.com/modules/productmedia/uploads/28961201frontplankwitharmandlegliftfemaleview.mp4
289712,Front Plank with Arm and Leg Lift (push-up position) (female),Strength,Plyometrics,Body weight,Female,,,https://gymvisual.com/modules/productmedia/uploads/456bf7245cc0c47ceba97fe39c485d27.mp4
289812,Front Plank with Leg Lift (female),Strength,Hips,Body weight,Female,"Gluteus Maximus, Rectus Abdominis","Deltoid Anterior, Gastrocnemius, Hamstrings, Obliques, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Serratus Anterior",https://gymvisual.com/modules/productmedia/uploads/28981201frontplankwithlegliftfemalehipsview.mp4
289912,Side Plank (beginner) (female),Strength,Waist,Body weight,Female,Obliques,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gluteus Medius, Gracilis, Pectineous, Tensor Fasciae Latae",https://gymvisual.com/modules/productmedia/uploads/28991201sideplankbeginnerfemalewaistview.mp4
290012,EZ-Barbell Standing Preacher Curl,Strength,Upper Arms,EZ Barbell,Male,Biceps Brachii,"Brachialis, Brachioradialis",https://gymvisual.com/modules/productmedia/uploads/47fe07df4174ed2bb0f2214f857dbfb5.mp4
290712,Power Sled Backward Push,Strength,Thighs,Power Sled,Male,,,https://gymvisual.com/modules/productmedia/uploads/29071201powersledbackwardpushthighsview.mp4
291012,Dumbbell Suitcase Carry,Strength,Thighs,Dumbbell,Male,,,https://gymvisual.com/modules/productmedia/uploads/29101201dumbbellsuitcasecarrythighsview.mp4
291212,Trap Bar Farmers Carry,Strength,Thighs,Body weight,Male,,,https://gymvisual.com/modules/productmedia/uploads/29121201trapbarfarmerscarrythighsview.mp4
291912,Smith Hex Press,Strength,Chest,Smith machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://gymvisual.com/modules/productmedia/uploads/7bba0b95442e7b666a316c2ebadb01bd.mp4
